Exon	GeneName	AlternativeSplicedExon	PanExpressionScore	RepresentativeExon	Location	Tier	Expression_High_in_Normal	Expression_High_In_Tumor
COL2A1_chr12_47981776_47981829_-	COL2A1	Gene	0.375	false	MATRISOME	Tier2		CPC,WLM,
OLFML2B_chr1_162019919_162020182_-	OLFML2B	Gene	0.5625	false	SURFACEOME	Tier2		RHB,OS,
COL5A3_chr19_9986315_9986422_-	COL5A3	Gene	0.5625	false	MATRISOME	Not Prioritized	Nerve,Fallopian_Tube,Adipose_Tissue,	HGG,LGG,EPD,
COL11A2_chr6_33171467_33171574_-	COL11A2	Gene	0.3125	false	MATRISOME_SURFACEOME	Tier2	Testis,Pituitary,	OS,
PMEL_chr12_55958473_55958603_-	PMEL	Gene	0.1875	false	SURFACEOME	Tier2		,MEL,
LAMA2_chr6_129315762_129315950_+	LAMA2	Gene	0.3125	false	MATRISOME	Not Prioritized		MB,
MMP16_chr8_88186476_88186598_-	MMP16	Gene	0.5	true	MATRISOME_SURFACEOME	Tier1		MB,HGG,LGG,
ATRN_chr20_3575827_3575948_+	ATRN	Gene	1.75	false	MATRISOME_SURFACEOME	Not Prioritized	Adrenal_Gland,	RB,ST,DSRCT,BT,MEL,MB,EPD,HGG,RHB,LGG,EWS,
RELN_chr7_103572184_103572260_-	RELN	Gene	0.1875	false	MATRISOME	Tier2		,MB,
MMP24_chr20_35254450_35254754_+	MMP24	Gene	0.25	false	MATRISOME_SURFACEOME	Not Prioritized		MB,
COL12A1_chr6_75123948_75124094_-	COL12A1	Gene	0.75	false	MATRISOME	Not Prioritized	Nerve,Ovary,Uterus,Adipose_Tissue,Breast,	ST,DSRCT,MEL,RHB,OS,
FGFR2_chr10_121564325_121564579_-	FGFR2	Gene	0.375	false	MATRISOME_SURFACEOME	Not Prioritized		BT,CPC,
MET_chr7_116769666_116769791_+	MET	Gene	0.25	false	MATRISOME_SURFACEOME	Tier1		MEL,
CLCN3_chr4_169697189_169697734_+	CLCN3	Gene	1.375	false	SURFACEOME	Tier2		EWS,BT,MEL,MB,EPD,HGG,LGG,RB,
SEMA6D_chr15_47764638_47764793_+	SEMA6D	Gene	1.0	false	MATRISOME_SURFACEOME	Tier1		DSRCT,BT,HGG,RB,MB,
PTPRZ1_chr7_121997880_121998006_+	PTPRZ1	Gene	0.9375	false	MATRISOME_SURFACEOME	Not Prioritized		MEL,MB,EPD,BT,HGG,LGG,
RELN_chr7_103490668_103490829_-	RELN	Gene	0.3125	false	MATRISOME	Tier2	Nerve,	EPD,MB,
SULF1_chr8_69637604_69638644_+	SULF1	Gene	0.1875	false	MATRISOME	Tier2		,CPC,
COL2A1_chr12_47987078_47987176_-	COL2A1	Gene	0.4375	false	MATRISOME	Tier2		CPC,WLM,
PROM1_chr4_15987663_15987716_-	PROM1	Gene	0.5625	false	MATRISOME_SURFACEOME	Tier2	Kidney,Salivary_Gland,	CPC,RB,
LOXL2_chr8_23328382_23328768_-	LOXL2	Gene	0.1875	false	MATRISOME	Tier2		RHB,
ACHE_chr7_100893165_100894255_-	ACHE	Gene	0.1875	false	MATRISOME	Not Prioritized		NBL,
ITGAX_chr16_31380897_31381007_+	ITGAX	Gene	0.4375	false	SURFACEOME	Not Prioritized	,Spleen,Lung,Blood,	LGG,
FBN2_chr5_128304957_128305082_-	FBN2	Gene	0.1875	false	MATRISOME_SURFACEOME	Tier2		ACT,
PAPPA_chr9_116353622_116353793_+	PAPPA	Gene	0.1875	false	MATRISOME	Tier2		,EWS,
COL2A1_chr12_47976514_47976567_-	COL2A1	Gene	0.375	false	MATRISOME	Tier2		CPC,WLM,
AXL_chr19_41221880_41222056_+	AXL	Gene	0.9375	false	MATRISOME_SURFACEOME	Not Prioritized	Cervix_Uteri,Blood_Vessel,	EWS,ST,DSRCT,BT,LGG,
GFRA2_chr8_21694464_21694511_-	GFRA2	Gene	0.1875	true	SURFACEOME	Tier2	Testis,Thyroid,	NBL,
WIF1_chr12_65066641_65066736_-	WIF1	Gene	0.25	false	MATRISOME	Not Prioritized	Brain,Lung,	RB,BT,
ALCAM_chr3_105520067_105520167_+	ALCAM	Gene	0.9375	false	SURFACEOME	Not Prioritized		EWS,HGG,NBL,LGG,DSRCT,BT,
CLCN3_chr4_169719907_169720278_+	CLCN3	Gene	1.875	false	SURFACEOME	Tier2	Testis,Brain,Salivary_Gland,Pituitary,Adrenal_Gland,	EWS,DSRCT,BT,MEL,CPC,EPD,HGG,NBL,RB,MB,LGG,
SORL1_chr11_121558591_121558837_+	SORL1	Gene	0.8125	false	SURFACEOME	Tier2	Blood,	RB,DSRCT,LGG,BT,
MMP15_chr16_58038266_58038394_+	MMP15	Gene	0.625	false	MATRISOME_SURFACEOME	Not Prioritized	Heart,Testis,Stomach,Thyroid,	ACT,NBL,
CDH15_chr16_89188100_89188285_+	CDH15	Gene	0.3125	false	SURFACEOME	Tier2	Muscle,	OS,RHB,
NCAM1_chr11_113204286_113204502_+	NCAM1	Gene	1.6875	false	SURFACEOME	Not Prioritized	Heart,Brain,	DSRCT,BT,EPD,NBL,WLM,RB,MB,HGG,RHB,LGG,
SORL1_chr11_121627561_121627767_+	SORL1	Gene	0.6875	false	SURFACEOME	Tier2	Spleen,Liver,Blood,	RB,DSRCT,BT,HGG,LGG,
COL23A1_chr5_178306875_178306919_-	COL23A1	Gene	0.1875	false	MATRISOME	Tier2	Thyroid,	,DSRCT,
VWF_chr12_6095460_6095584_-	VWF	Gene	0.875	false	MATRISOME	Not Prioritized	Heart,Lung,Adipose_Tissue,Breast,	ST,BT,MB,
MAN2A1_chr5_109767535_109767708_+	MAN2A1	Gene	0.875	false	SURFACEOME	Tier2		ST,DSRCT,BT,MEL,EWS,
GNAQ_chr9_77716087_77721513_-	GNAQ	Gene	0.875	false	SURFACEOME	Tier2	Brain,	LGG,
TFRC_chr3_196071440_196071498_-	TFRC	Gene	2.125	false	MATRISOME_SURFACEOME	Tier2	Ovary,Fallopian_Tube,Lung,	ST,ACT,OS,MEL,EPD,HGG,NBL,RHB,EWS,RB,DSRCT,BT,MB,
ABCA1_chr9_104785396_104785639_-	ABCA1	Gene	1.375	false	SURFACEOME	Tier2	Adrenal_Gland,	EWS,RB,ST,BT,MEL,MB,EPD,HGG,LGG,DSRCT,
ABCA1_chr9_104883039_104883157_-	ABCA1	Gene	1.25	false	SURFACEOME	Tier2		EWS,RB,ST,MB,DSRCT,BT,MEL,
COL2A1_chr12_47980009_47980062_-	COL2A1	Gene	0.375	false	MATRISOME	Tier2		CPC,WLM,
IGF2R_chr6_160062532_160062619_+	IGF2R	Gene	2.125	false	MATRISOME_SURFACEOME	Not Prioritized	Adrenal_Gland,Muscle,	RB,DSRCT,OS,MB,EPD,HGG,WLM,RHB,EWS,ST,ACT,BT,MEL,
PKD1_chr16_2119307_2119378_-	PKD1	Gene	2.0625	false	SURFACEOME	Not Prioritized	Ovary,Uterus,Pituitary,Bladder,	EWS,RB,ACT,BT,MEL,NBL,MB,CPC,EPD,HGG,RHB,LGG,
PMEL_chr12_55956949_55957059_-	PMEL	Gene	0.1875	false	SURFACEOME	Tier2	Skin,	,MEL,
SPA17_chr11_124691696_124691782_+	SPA17	Gene	0.5625	true	SURFACEOME	Tier2	Pituitary,Testis,	RB,WLM,EPD,
CHRNA7_chr15_32111790_32111899_+	CHRNA7	Gene	0.5	false	SURFACEOME	Tier1		ACT,NBL,DSRCT,
ENTPD1_chr10_95823238_95823364_+	ENTPD1	Gene	0.4375	false	MATRISOME_SURFACEOME	Not Prioritized		DSRCT,
DPP4_chr2_162047403_162047501_-	DPP4	Gene	0.125	false	MATRISOME_SURFACEOME	Tier2		RB,
COL12A1_chr6_75130852_75130981_-	COL12A1	Gene	0.75	false	MATRISOME	Not Prioritized	Nerve,Ovary,Uterus,	ST,DSRCT,MEL,RHB,OS,
PROM1_chr4_15987663_15987714_-	PROM1	Gene	0.5625	false	MATRISOME_SURFACEOME	Tier2	Kidney,Salivary_Gland,	CPC,RB,
COL4A5_chrX_108439844_108440206_+	COL4A5	Gene	0.25	false	MATRISOME	Not Prioritized		DSRCT,
COL2A1_chr12_47998169_47998201_-	COL2A1	Gene	0.25	false	MATRISOME	Tier2		,WLM,
IMPG2_chr3_101275663_101275745_-	IMPG2	Gene	0.3125	false	MATRISOME_SURFACEOME	Tier1		MB,RB,
COL11A1_chr1_102888723_102888758_-	COL11A1	Gene	0.6875	false	MATRISOME_SURFACEOME	Tier1		ACT,CPC,OS,
COL23A1_chr5_178256353_178257291_-	COL23A1	Gene	0.125	false	MATRISOME	Tier2		DSRCT,
MMP9_chr20_46013655_46013792_+	MMP9	Gene	0.3125	false	MATRISOME	Tier2	,Spleen,Blood,	,OS,
FRAS1_chr4_78441162_78441297_+	FRAS1	Gene	0.1875	false	MATRISOME_SURFACEOME	Tier1		DSRCT,
ITGA1_chr5_52787936_52788414_+	ITGA1	Gene	0.1875	false	MATRISOME_SURFACEOME	Not Prioritized		DSRCT,
SEMA6D_chr15_47767037_47767303_+	SEMA6D	Gene	0.25	false	MATRISOME_SURFACEOME	Tier1		RB,
ITGA4_chr2_181525202_181525291_+	ITGA4	Gene	0.3125	false	MATRISOME_SURFACEOME	Tier2	Spleen,	OS,
COL20A1_chr20_63322058_63325363_+	COL20A1	Gene	0.25	false	MATRISOME	Tier1		,DSRCT,
COL26A1_chr7_101553326_101553376_+	COL26A1	Gene	0.3125	false	MATRISOME_SURFACEOME	Tier1		WLM,RHB,
COL20A1_chr20_63322058_63325364_+	COL20A1	Gene	0.25	false	MATRISOME	Tier1		,DSRCT,
MET_chr7_116795887_116798377_+	MET	Gene	0.1875	false	MATRISOME_SURFACEOME	Tier1		MEL,
THSD7A_chr7_11424696_11424835_-	THSD7A	Gene	0.25	false	SURFACEOME	Tier2		RB,MB,
CHL1_chr3_383816_383886_+	CHL1	Gene	0.4375	true	SURFACEOME	Tier2	Nerve,	HGG,LGG,
SULF1_chr8_69575970_69576027_+	SULF1	Gene	1.25	false	MATRISOME	Tier2	Colon,Blood_Vessel,	ST,DSRCT,BT,OS,RHB,CPC,
TNR_chr1_175354391_175354523_-	TNR	Gene	0.3125	false	MATRISOME	Tier2		HGG,LGG,
MMP9_chr20_46010920_46011050_+	MMP9	Gene	0.3125	false	MATRISOME	Tier2	,Spleen,Blood,	,OS,
SULF1_chr8_69623942_69624197_+	SULF1	Gene	0.75	false	MATRISOME	Tier2	Colon,Blood_Vessel,	DSRCT,OS,RHB,CPC,
PROM1_chr4_16006538_16006690_-	PROM1	Gene	0.4375	false	MATRISOME_SURFACEOME	Tier2	Salivary_Gland,	CPC,RB,
SORL1_chr11_121545243_121545429_+	SORL1	Gene	0.875	false	SURFACEOME	Tier2	Blood,	RB,LGG,DSRCT,BT,
TFRC_chr3_196073930_196074125_-	TFRC	Gene	1.875	true	MATRISOME_SURFACEOME	Tier2		ST,ACT,MEL,HGG,RHB,EWS,RB,DSRCT,BT,MB,
HEG1_chr3_125002257_125002315_-	HEG1	Gene	0.75	false	SURFACEOME	Tier2	Thyroid,	BT,RB,
COL4A5_chrX_108580533_108580586_+	COL4A5	Gene	0.5625	false	MATRISOME	Not Prioritized	Uterus,Bladder,	BT,CPC,DSRCT,
ATRN_chr20_3535282_3535336_+	ATRN	Gene	0.8125	false	MATRISOME_SURFACEOME	Not Prioritized		EWS,
COL14A1_chr8_120206943_120207094_+	COL14A1	Gene	0.5	false	MATRISOME_SURFACEOME	Not Prioritized	,Blood_Vessel,	ST,RHB,DSRCT,
HMCN1_chr1_186171387_186171450_+	HMCN1	Gene	0.5	true	MATRISOME	Tier2	Lung,Blood_Vessel,	MEL,WLM,EWS,
ITGB4_chr17_75730878_75731366_+	ITGB4	Gene	0.3125	false	MATRISOME	Not Prioritized	Nerve,Salivary_Gland,	EPD,
FAP_chr2_162202872_162202942_-	FAP	Gene	0.3125	false	MATRISOME_SURFACEOME	Tier2	Uterus,	OS,
MMP9_chr20_46014368_46014474_+	MMP9	Gene	0.4375	false	MATRISOME	Tier2	Lung,Spleen,Blood,	NBL,OS,
COL11A2_chr6_33173060_33173110_-	COL11A2	Gene	0.25	false	MATRISOME_SURFACEOME	Tier2	Testis,Pituitary,	OS,
ASTN1_chr1_177164394_177164867_-	ASTN1	Gene	0.1875	false	SURFACEOME	Tier2		DSRCT,
NCAN_chr19_19238392_19238411_+	NCAN	Gene	0.5625	false	MATRISOME	Not Prioritized	Brain,	EPD,HGG,LGG,
ENPP3_chr6_131652857_131652891_+	ENPP3	Gene	0.3125	false	MATRISOME_SURFACEOME	Tier1		ACT,EWS,
NCAM1_chr11_112961437_112961664_+	NCAM1	Gene	1.3125	false	SURFACEOME	Not Prioritized		EPD,HGG,NBL,RHB,RB,MB,LGG,
AQP2_chr12_49950746_49951190_+	AQP2	Gene	0.125	false	SURFACEOME	Not Prioritized	,Kidney,	ACT,
PTPRZ1_chr7_122010334_122013889_+	PTPRZ1	Gene	0.625	false	MATRISOME_SURFACEOME	Not Prioritized		,HGG,LGG,
B3GAT1_chr11_134381924_134382024_-	B3GAT1	Gene	0.75	false	SURFACEOME	Not Prioritized	Nerve,Brain,Stomach,	MB,NBL,HGG,LGG,
NID2_chr14_52005737_52006660_-	NID2	Gene	0.3125	false	MATRISOME	Tier2		CPC,
KLK6_chr19_50959149_50959316_-	KLK6	Gene	0.375	false	SURFACEOME	Tier2	Brain,Kidney,	,DSRCT,WLM,
CHRNA7_chr15_32111827_32111899_+	CHRNA7	Gene	0.5	false	SURFACEOME	Tier1		ACT,NBL,DSRCT,
CDH8_chr16_61901392_61901473_-	CDH8	Gene	0.25	false	MATRISOME_SURFACEOME	Tier1		,EWS,
MMP9_chr20_46010920_46011052_+	MMP9	Gene	0.3125	false	MATRISOME	Tier2	,Spleen,Blood,	,OS,
COL11A1_chr1_102920311_102920364_-	COL11A1	Gene	0.875	false	MATRISOME_SURFACEOME	Tier1		ACT,HGG,LGG,OS,CPC,
MMP9_chr20_46013655_46013795_+	MMP9	Gene	0.3125	false	MATRISOME	Tier2	,Spleen,Blood,	,OS,
COL12A1_chr6_75151867_75152031_-	COL12A1	Gene	0.875	false	MATRISOME	Not Prioritized	Nerve,Ovary,	EWS,ST,DSRCT,MEL,RHB,OS,
SYT4_chr18_43274033_43274394_-	SYT4	Gene	0.375	false	SURFACEOME	Tier2		RB,MB,
CHL1_chr3_328167_328354_+	CHL1	Gene	0.5	false	SURFACEOME	Tier2	Nerve,	BT,HGG,LGG,
NPTX2_chr7_98627165_98627253_+	NPTX2	Gene	1.0625	false	SURFACEOME	Tier2	Adrenal_Gland,Testis,Pituitary,	RB,MB,CPC,LGG,ACT,
ENTPD2_chr9_137051211_137051370_-	ENTPD2	Gene	0.1875	false	MATRISOME_SURFACEOME	Tier2	Nerve,	EPD,
ENPP3_chr6_131718672_131718738_+	ENPP3	Gene	0.3125	false	MATRISOME_SURFACEOME	Tier1		ACT,EWS,
COL20A1_chr20_63322058_63325362_+	COL20A1	Gene	0.25	false	MATRISOME	Tier1		,DSRCT,
BCAN_chr1_156647985_156648110_+	BCAN	Gene	0.5625	false	MATRISOME	Not Prioritized	,Brain,	,EPD,HGG,LGG,
AGRN_chr1_1045399_1045523_+	AGRN	Gene	2.125	false	MATRISOME_SURFACEOME	Tier2	Salivary_Gland,Lung,Pancreas,Kidney,Thyroid,	EWS,ST,DSRCT,OS,MEL,MB,NBL,WLM,RHB,LGG,BT,CPC,EPD,HGG,
IL6ST_chr5_55976215_55976293_-	IL6ST	Gene	1.9375	false	MATRISOME_SURFACEOME	Tier2	Adipose_Tissue,Bladder,Breast,Adrenal_Gland,Thyroid,	EWS,MB,EPD,HGG,RHB,LGG,RB,ST,DSRCT,BT,MEL,
IBSP_chr4_87810609_87810764_+	IBSP	Gene	0.1875	false	MATRISOME	Tier1		,OS,
MMP9_chr20_46010920_46011051_+	MMP9	Gene	0.3125	false	MATRISOME	Tier2	,Spleen,Blood,	,OS,
PMEL_chr12_55965936_55966062_-	PMEL	Gene	0.1875	false	SURFACEOME	Tier2		,MEL,
PTPRZ1_chr7_122061080_122062016_+	PTPRZ1	Gene	0.75	false	MATRISOME_SURFACEOME	Not Prioritized	,Brain,	,EPD,HGG,LGG,
FGF2_chr4_122876321_122876424_+	FGF2	Gene	0.5	true	MATRISOME	Tier2		BT,CPC,
PTPRZ1_chr7_121972541_121972692_+	PTPRZ1	Gene	1.0	false	MATRISOME_SURFACEOME	Not Prioritized		MEL,MB,EPD,BT,HGG,LGG,
MMP9_chr20_46013655_46013794_+	MMP9	Gene	0.3125	false	MATRISOME	Tier2	,Spleen,Blood,	,OS,
COL11A2_chr6_33180964_33181005_-	COL11A2	Gene	0.125	false	MATRISOME_SURFACEOME	Tier2	Pituitary,	OS,
CLCN3_chr4_169689043_169689145_+	CLCN3	Gene	2.1875	false	SURFACEOME	Tier2	Salivary_Gland,Adrenal_Gland,	ST,DSRCT,CPC,EPD,NBL,EWS,RB,BT,MEL,MB,HGG,LGG,
CDH8_chr16_61857119_61857238_-	CDH8	Gene	0.1875	false	MATRISOME_SURFACEOME	Tier1		,EWS,
PROM1_chr4_16018301_16018540_-	PROM1	Gene	0.4375	false	MATRISOME_SURFACEOME	Tier2	Salivary_Gland,	CPC,RB,
DLK1_chr14_100732040_100732180_+	DLK1	Gene	0.5625	false	MATRISOME_SURFACEOME	Tier2	,Testis,Ovary,Pituitary,Adrenal_Gland,	NBL,ACT,RHB,
LAMA1_chr18_7044722_7044839_-	LAMA1	Gene	0.125	false	MATRISOME	Tier1		RB,
P2RX7_chr12_121177297_121177446_+	P2RX7	Gene	0.25	false	SURFACEOME	Not Prioritized		LGG,
ADAM10_chr15_58749480_58749630_-	ADAM10	Gene	1.25	false	MATRISOME_SURFACEOME	Tier2		EWS,RB,ST,BT,MEL,MB,
COL20A1_chr20_63305431_63305556_+	COL20A1	Gene	0.5	false	MATRISOME	Tier1		HGG,DSRCT,LGG,
ABCA1_chr9_104796053_104796197_-	ABCA1	Gene	1.0625	false	SURFACEOME	Tier2	Adrenal_Gland,	RB,ST,BT,MEL,HGG,DSRCT,
AGRN_chr1_1041478_1041702_+	AGRN	Gene	0.875	false	MATRISOME_SURFACEOME	Tier2		CPC,EPD,HGG,
GFRA1_chr10_116093702_116093836_-	GFRA1	Gene	0.375	false	MATRISOME	Tier2		WLM,
NID2_chr14_52042105_52042339_-	NID2	Gene	0.375	false	MATRISOME	Tier2		CPC,
PTPRZ1_chr7_122047674_122047790_+	PTPRZ1	Gene	0.4375	false	MATRISOME_SURFACEOME	Not Prioritized		,HGG,LGG,
COL9A1_chr6_70256768_70256821_-	COL9A1	Gene	0.625	false	MATRISOME	Tier1		CPC,RB,LGG,
LOXL2_chr8_23319927_23320052_-	LOXL2	Gene	1.125	false	MATRISOME	Tier2	Adipose_Tissue,Colon,	ST,OS,WLM,RHB,
ERBB3_chr12_56087824_56088162_+	ERBB3	Gene	0.1875	false	SURFACEOME	Not Prioritized		MEL,
AGRN_chr1_1051742_1053977_+	AGRN	Gene	0.25	false	MATRISOME_SURFACEOME	Tier2	Kidney,	CPC,
NCAM1_chr11_112961425_112961664_+	NCAM1	Gene	1.25	false	SURFACEOME	Not Prioritized		EPD,HGG,NBL,RHB,RB,MB,LGG,
VWF_chr12_6064246_6064384_-	VWF	Gene	0.625	false	MATRISOME	Not Prioritized	Heart,Lung,Adipose_Tissue,Breast,	BT,
SORL1_chr11_121577281_121577400_+	SORL1	Gene	0.9375	false	SURFACEOME	Tier2	Blood,	RB,HGG,LGG,DSRCT,BT,
BTC_chr4_74770058_74770156_-	BTC	Gene	0.125	true	SURFACEOME	Tier1		CPC,
COL11A2_chr6_33165549_33165816_-	COL11A2	Gene	0.3125	false	MATRISOME_SURFACEOME	Tier2	Testis,Pituitary,	OS,
PTPRC_chr1_198752587_198752772_+	PTPRC	Gene	0.8125	false	MATRISOME_SURFACEOME	Not Prioritized	Small_Intestine,Spleen,Lung,Blood,	MEL,LGG,
COL4A5_chrX_108595509_108595601_+	COL4A5	Gene	0.6875	false	MATRISOME	Not Prioritized	Uterus,Fallopian_Tube,Bladder,Esophagus,	BT,EPD,DSRCT,CPC,
ITGAV_chr2_186677197_186677441_+	ITGAV	Gene	2.125	false	MATRISOME_SURFACEOME	Tier2	Adrenal_Gland,Blood_Vessel,	EWS,RB,ACT,OS,MB,EPD,RHB,ST,DSRCT,BT,MEL,HGG,LGG,
LAMA2_chr6_129165576_129165675_+	LAMA2	Gene	0.375	false	MATRISOME	Not Prioritized	Heart,Ovary,	MB,
ADAM19_chr5_157513434_157513505_-	ADAM19	Gene	0.1875	false	MATRISOME_SURFACEOME	Tier2		RB,
CHL1_chr3_382186_382280_+	CHL1	Gene	0.5625	false	SURFACEOME	Tier2	Nerve,	BT,HGG,LGG,
IL1RAP_chr3_190644248_190644397_+	IL1RAP	Gene	0.5	true	SURFACEOME	Tier2		DSRCT,LGG,EWS,
PKD1_chr16_2105322_2105707_-	PKD1	Gene	1.125	false	SURFACEOME	Not Prioritized	Uterus,Blood_Vessel,Pituitary,	MB,CPC,EPD,HGG,NBL,LGG,
THSD4_chr15_71748421_71748594_+	THSD4	Gene	0.125	false	MATRISOME_SURFACEOME	Tier2		DSRCT,
ITIH2_chr10_7729952_7730133_+	ITIH2	Gene	0.1875	false	MATRISOME	Tier2	,Liver,	,DSRCT,
ITGAV_chr2_186668762_186668920_+	ITGAV	Gene	2.25	false	MATRISOME_SURFACEOME	Tier2	Adrenal_Gland,Blood_Vessel,	RB,ACT,OS,MB,CPC,EPD,RHB,EWS,ST,DSRCT,BT,MEL,HGG,LGG,
AMPH_chr7_38494433_38494527_-	AMPH	Gene	0.3125	false	SURFACEOME	Tier2		RB,
HMCN1_chr1_186106884_186106965_+	HMCN1	Gene	0.375	false	MATRISOME	Tier2		MEL,EWS,
LOX_chr5_122076893_122077223_-	LOX	Gene	0.125	false	MATRISOME	Tier2		OS,
ENTPD1_chr10_95839691_95839808_+	ENTPD1	Gene	0.6875	false	MATRISOME_SURFACEOME	Not Prioritized	Fallopian_Tube,Blood_Vessel,Blood,	DSRCT,
ALCAM_chr3_105366909_105367481_+	ALCAM	Gene	0.4375	false	SURFACEOME	Not Prioritized		DSRCT,BT,
FRAS1_chr4_78452175_78452354_+	FRAS1	Gene	0.1875	false	MATRISOME_SURFACEOME	Tier1		DSRCT,
TRPV1_chr17_3583338_3583430_-	TRPV1	Gene	0.25	false	SURFACEOME	Not Prioritized		EPD,
GRIN1_chr9_137162172_137162290_+	GRIN1	Gene	0.125	false	SURFACEOME	Not Prioritized	,Brain,	NBL,
ITGA1_chr5_52898239_52898383_+	ITGA1	Gene	0.875	false	MATRISOME_SURFACEOME	Not Prioritized	Lung,Bladder,Adrenal_Gland,Colon,Blood_Vessel,	EWS,ST,ACT,DSRCT,
LDLR_chr19_11089478_11089615_+	LDLR	Gene	0.375	false	MATRISOME_SURFACEOME	Tier2		,ACT,
COL11A2_chr6_33176433_33176486_-	COL11A2	Gene	0.1875	false	MATRISOME_SURFACEOME	Tier2	Pituitary,	OS,
PAPPA_chr9_116331244_116331357_+	PAPPA	Gene	0.1875	false	MATRISOME	Tier2		,EWS,
CDH2_chr18_28011918_28011992_-	CDH2	Gene	1.6875	false	SURFACEOME	Tier2	Testis,Heart,Adrenal_Gland,	DSRCT,OS,EPD,NBL,LGG,RB,BT,MB,HGG,WLM,
THBS2_chr6_169234734_169234907_-	THBS2	Gene	0.75	false	MATRISOME	Not Prioritized	Uterus,Skin,Cervix_Uteri,Blood_Vessel,	ST,DSRCT,OS,MEL,
HSPG2_chr1_21851311_21851590_-	HSPG2	Gene	0.625	false	MATRISOME	Not Prioritized	Nerve,Blood_Vessel,	ACT,OS,RHB,
FBN2_chr5_128276038_128276160_-	FBN2	Gene	0.375	false	MATRISOME_SURFACEOME	Tier2		ACT,
ITGA1_chr5_52887819_52887965_+	ITGA1	Gene	1.0	false	MATRISOME_SURFACEOME	Not Prioritized	Bladder,Blood_Vessel,	EWS,ST,ACT,BT,DSRCT,
COL11A1_chr1_103012413_103012469_-	COL11A1	Gene	0.6875	false	MATRISOME_SURFACEOME	Tier1		ACT,CPC,OS,
LIFR_chr5_38484775_38484868_-	LIFR	Gene	0.8125	false	MATRISOME_SURFACEOME	Tier2	Uterus,Fallopian_Tube,Adipose_Tissue,Breast,Thyroid,	EWS,EPD,HGG,WLM,LGG,
NCAM1_chr11_112961480_112961664_+	NCAM1	Gene	1.4375	false	SURFACEOME	Not Prioritized		DSRCT,EPD,NBL,RHB,RB,MB,HGG,LGG,
NRG1_chr8_32754372_32754474_+	NRG1	Gene	0.125	true	MATRISOME_SURFACEOME	Tier1		DSRCT,
FBN2_chr5_128330573_128330695_-	FBN2	Gene	0.1875	false	MATRISOME_SURFACEOME	Tier2		ACT,
CCL25_chr19_8057804_8057920_+	CCL25	Gene	0.1875	true	SURFACEOME	Tier2	Small_Intestine,	,DSRCT,
SEMA6D_chr15_47761330_47761428_+	SEMA6D	Gene	0.625	false	MATRISOME_SURFACEOME	Tier1		,RB,MB,
PTPRZ1_chr7_122036600_122036632_+	PTPRZ1	Gene	0.9375	false	MATRISOME_SURFACEOME	Not Prioritized	,Brain,	BT,MEL,MB,EPD,HGG,LGG,
PXDN_chr2_1687632_1687703_-	PXDN	Gene	1.3125	false	MATRISOME_SURFACEOME	Not Prioritized		EWS,ST,DSRCT,BT,MB,CPC,WLM,RHB,
MAN2A1_chr5_109770355_109770541_+	MAN2A1	Gene	0.875	false	SURFACEOME	Tier2		ST,DSRCT,BT,MEL,EWS,
FBN1_chr15_48513549_48513668_-	FBN1	Gene	1.125	false	MATRISOME	Tier2		EWS,DSRCT,BT,MEL,RHB,ST,
ENPP1_chr6_131864866_131864938_+	ENPP1	Gene	0.1875	false	MATRISOME_SURFACEOME	Tier2		EWS,
AMPH_chr7_38391891_38392017_-	AMPH	Gene	0.4375	false	SURFACEOME	Tier2	Brain,Pituitary,	,RB,
BCAN_chr1_156648568_156648861_+	BCAN	Gene	0.5625	false	MATRISOME	Not Prioritized	,Brain,	,EPD,HGG,LGG,
COL4A5_chrX_108584484_108584525_+	COL4A5	Gene	0.5	false	MATRISOME	Not Prioritized	Uterus,Fallopian_Tube,Bladder,	BT,CPC,DSRCT,
RELN_chr7_103661376_103661527_-	RELN	Gene	0.1875	false	MATRISOME	Tier2		,MB,
IMPG2_chr3_101245802_101246105_-	IMPG2	Gene	0.25	false	MATRISOME_SURFACEOME	Tier1		,RB,
NID2_chr14_52019061_52019294_-	NID2	Gene	0.5	false	MATRISOME	Tier2	Thyroid,	OS,CPC,
NAV2_chr11_20080064_20080213_+	NAV2	Gene	0.8125	false	MATRISOME	Tier2		BT,MEL,EPD,HGG,LGG,
ASTN1_chr1_176868844_176869027_-	ASTN1	Gene	0.625	false	SURFACEOME	Tier2		HGG,LGG,DSRCT,
CHL1_chr3_341912_342082_+	CHL1	Gene	0.5625	false	SURFACEOME	Tier2		BT,HGG,LGG,
SEMA7A_chr15_74411295_74411356_-	SEMA7A	Gene	0.5	false	MATRISOME	Not Prioritized	Nerve,Brain,Testis,Spleen,	ACT,OS,LGG,
PDCD1_chr2_241852857_241852980_-	PDCD1	Gene	0.1875	true	SURFACEOME	Tier2		DSRCT,
SULF1_chr8_69603600_69603656_+	SULF1	Gene	1.25	false	MATRISOME	Tier2	Colon,Prostate,Thyroid,Blood_Vessel,	ST,DSRCT,BT,OS,RHB,CPC,
AQP2_chr12_49950741_49951190_+	AQP2	Gene	0.125	false	SURFACEOME	Not Prioritized	,Kidney,	ACT,
HMCN1_chr1_186172006_186172131_+	HMCN1	Gene	0.625	false	MATRISOME	Tier2	Lung,Blood_Vessel,	MEL,WLM,EWS,
